RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	UTM	JOG	FC	DSG	PC	CC1	ADM1	ADM2	DIM	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-570004	-805065	53.9166667	-124.1666667	535500	-1241000	DE27	NN10-07	P	PPL		CA	02				N				NECHACCO	Nechacco	Nechacco	1993-12-14
1	-570006	-805066	53.9166667	-122.7333333	535500	-1224400	EE17	NN10-08	H	STM		CA	02				V				NECHACCO	Nechacco	Nechacco	1993-12-14
1	-570006	-805067	53.9166667	-122.7333333	535500	-1224400	EE17	NN10-08	H	STM		CA	02				V				NECHACO	Nechaco	Nechaco	1993-12-14
1	-570005	-805068	53.4166667	-124.6666667	532500	-1244000	CE81	NN10-07	T	MTS		CA	02				V				NECHAKOMOUNTAINS	Nechako Mountains	Nechako Mountains	1993-12-14
1	-570005	-805069	53.4166667	-124.6666667	532500	-1244000	CE81	NN10-07	T	MTS		CA	02				N				NECHAKORANGE	Nechako Range	Nechako Range	1993-12-14
1	-570006	-805070	53.9166667	-122.7333333	535500	-1224400	EE17	NN10-08	H	STM		CA	02				N		Nechako		NECHAKORIVER	Nechako River	Nechako River	1993-12-14
1	-570007	-805071	49.5333333	 -57.8666667	493200	-575200	VQ38	NM21-08	P	PPL		CA	05				N				NEDDYHARBOUR	Neddy Harbour	Neddy Harbour	1993-12-14
1	-570008	-805072	62.65	 -91.75	623900	-914500	WK64	NP15-06	T	ISL		CA	00				N				NEDLIKISLAND	Nedlik Island	Nedlik Island	1993-12-14
1	-570009	-805073	57.4166667	 -72.9166667	572500	-725500	XJ26	NO18-09	H	LK		CA	10				N				NEDLUKLAKE	Nedluk Lake	Nedluk Lake	1993-12-14
1	-570010	-805074	67.9166667	 -66.3333333	675500	-662000	FR13	NQ19-02	H	BAY		CA	14				N				NEDLUKSEAKFIORD	Nedlukseak Fiord	Nedlukseak Fiord	1993-12-14
